"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_friend_visit","region"
"205","Bélé","D283","F","Manfoueté","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"208","Bélé","D286","M","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"209","Massendjo","D287","M","Losso","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"215","Massendjo","D292","F","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"216","Massendjo","D293","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"218","Massendjo","D295","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"227","Massendjo","D302","F","Manfoueté","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"230","Massendjo","D305","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"231","Massendjo","D306","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"236","Kokosso","D310","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"237","Kokosso","D311","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"238","Kokosso","D312","M","Boleiké","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"241","Kokosso","D315","M","Moangouma","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"242","Kokosso","D316","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"243","Kokosso","D317","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"244","Kokosso","D318","M","Manfoueté","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"249","Kokosso","D322","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"251","Kokosso","D324","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"253","Kokosso","D326","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"257","Cacao","D33","F","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"258","Kokosso","D330","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"259","Kokosso","D331","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"265","Kokosso","D337","F","Losso","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"268","Cacao","D34","F","Manfoueté","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"272","Boleiké2","D343","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"273","Boleiké2","D344","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"274","Boleiké2","D345","M","Malala","Adulte",NA,-Inf,-Inf,5,0,"Dongou"
"275","Boleiké2","D346","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,1,0,"Dongou"
"276","Boleiké2","D347","M","Manfouté","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"278","Boleiké2","D349","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"279","Cacao","D35","M","Maoangouma","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"280","Boleiké2","D350","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"282","Boleiké2","D352","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"283","Boleiké2","D353","M","Manfouté","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"287","Boleiké2","D357","F","Dongou","Adolescent",NA,-Inf,-Inf,4,0,"Dongou"
"288","Boleiké2","D358","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"289","Boleiké2","D359","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Dongou"
"291","Boleiké2","D360","M","Dongou","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"292","Boleiké2","D361","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,6,0,"Dongou"
"294","Kokosso","D363","F","Manfoueté","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"296","Kokosso","D365","F","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"297","Kokosso","D366","F","Mindjoukou","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"298","Kokosso","D367","M","Bolomo","Personne âgée",NA,-Inf,-Inf,1,0,"Dongou"
"299","Boleiké1","D368","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,7,0,"Dongou"
"300","Boleiké1","D369","M","Manfoueté","Personne âgée",NA,-Inf,-Inf,8,0,"Dongou"
"301","Cacao","D37","M","Bondzale","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"305","Boleiké3","D373","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"307","Boleiké3","D375","M","Boucy-boucy","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"308","Boleiké3","D376","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"311","Boleiké3","D379","M","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"312","Bokoko","D38","F","Ndzoumbele","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"313","Boleiké3","D380","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"314","Boleiké3","D381","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"317","Mokombo1","D384","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"319","Mokombo1","D386","M","Longa","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"321","Mokombo2","D388","F","Village Mapoté","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"323","Bokoko","D39","M","Ndzoumbele","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"325","Bagorhé","D391","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"328","Bagorhé","D394","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"329","Bagorhé","D395","M","Mimbelli","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"330","Bagorhé","D396","M","Mimbelli","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"334","Safou","D4","M","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"335","Bokoko","D40","F","Moangouma","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"337","Mossimbi2","D401","F","Dongou","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"338","Mossimbi2","D402","F","Botanga","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"340","Mossimbi2","D404","M","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"345","Mossimbi2","D409","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"347","Mossimbi2","D410","M","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"350","Mossimbi2","D413","F","Dongou","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"351","Mossimbi2","D414","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"352","Mossimbi2","D415","M","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"353","Mossimbi2","D416","F","Mossimbi","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"356","Mossimbi2","D419","F","Dongou","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"357","Bokoko","D42","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"358","Mossimbi1","D420","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"362","Mokombo1","D424","F","Mokombo 1","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"364","Bokoko","D43","M",NA,"Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"365","Tangassi","D44","M","Moangouma","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"368","Ngomba","D47","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"369","Ngomba","D48","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"370","Ngomba","D49","M","Modzaka","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"372","Ngomba","D50","F","Impfondo","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"373","Ngomba","D51","M","Moangouma","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"374","Ngomba","D52","F","Modzaka","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"375","Tali","D53","F","Dongou","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"378","Tali","D56","M","Moangouma","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"380","Tali","D58","F","Moangouma","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"384","Tali","D61","F","Moangouma","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"388","Tali","D65","M","Dongou","Adulte",NA,-Inf,-Inf,10,0,"Dongou"
"390","Tali","D67","F","Moangouma","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"391","Tali","D68","F","Dongou","Personne âgée",NA,-Inf,-Inf,6,0,"Dongou"
"393","Tangassi","D7","M","Moangouma","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"396","Bokombo6","D72","F",NA,"Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"397","Bokombo6","D73","M","Ikouangala","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"398","Bokombo6","D74","M","Dongou","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"400","Bokombo6","D76","F",NA,"Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"401","Bokombo6","D77","M","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"402","Bokombo6","D78","F","Bangui","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"404","Safou","D8","F","Losso","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"408","Bokombo6","D83","F","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"409","Bokombo4","D84","F","Manfoueté","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"412","Bokombo4","D87","F","Ikouangala","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"413","Bokombo4","D88","M","Ikouangala","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"415","Tangassi","D9","F","Dongou","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"416","Bokombo3","D90","F","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"417","Bokombo5","D91","F","Ikouangala","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"418","Bokombo5","D92","F","Manfoueté","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"420","Bokombo3","D94","M","Sambala","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"425","Bokombo4","D99","M","Bétou","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"410","Kakélo6","M151","F","Bangui","Adulte",349.832173975241,349.832173975241,349.832173975241,7,1,"Macao"
"5","Boua2","M75","F","Bangui","FALSE",NA,-Inf,-Inf,6,0,"Macao"
"710","Kakélo4","M167","M","Bangui","Adulte",45236.9160971339,88723.4461560168,1750.38603825094,11,2,"Macao"
"810","Boua1","M90","F","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"910","Kakélo6","M111","F","Bangui","Adulte",1797.2539444575,1797.2539444575,1797.2539444575,9,1,"Macao"
"1010","Kakélo4","M119","F","Bangui","Adolescent",NA,-Inf,-Inf,8,0,"Macao"
"1310","Kakélo2","M132","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"15","Kakélo5","M142","M","Bangui","Adolescent",9944.53369670127,9944.53369670127,9944.53369670127,7,1,"Macao"
"17","Boua1","M63","F","Bangui","Personne âgée",NA,-Inf,-Inf,5,0,"Macao"
"181","Bateké1","M11","M","Djoubou","Adulte",NA,-Inf,-Inf,4,1,"Macao"
"194","Kakélo4","M162","F","Bangui","Adulte",274.674893840174,274.674893840174,274.674893840174,3,1,"Macao"
"22","Boua2","M130","M","Bangui","Adulte",179.958241540146,179.958241540146,179.958241540146,13,1,"Macao"
"23","Boua2","M126","M","Bangui","Adulte",179.958241540146,179.958241540146,179.958241540146,5,1,"Macao"
"277","Boua1","M68","F","Bangui","Adulte",179.958241540146,179.958241540146,179.958241540146,3,1,"Macao"
"31","Mopendé","M36","F","Papé","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"32","Kakélo1","M94","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"331","Bakouengué","M32","F","Bayanga","Adulte",2354.70991101907,2354.70991101907,2354.70991101907,3,1,"Macao"
"35","Kakélo2","M84","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"371","Bateké2","M15","F","Maca","Adolescent",6744.28151290248,13165.7680084803,322.795017324639,6,2,"Macao"
"381","Moyimbi","M2","M","Dongou","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"39","Boua2","M74","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"40","Moyimbi","M5","F","Mobongo","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"411","Bakouengué","M26","F","Macao","Adulte",2354.70991101907,2354.70991101907,2354.70991101907,4,1,"Macao"
"42","Kakélo6","M154","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"43","Movossovosso","M81","M","Dongou","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"441","Boua1","M93","M","Bangui","Adolescent",NA,-Inf,-Inf,10,0,"Macao"
"46","Boua2","M127","F","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"47","Kakélo4","M116","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"49","Kakélo1","M96","M","Bangui","Adulte",NA,-Inf,-Inf,11,0,"Macao"
"53","Papé","M49","F","Papé","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"561","Kakélo3","M140","M","Bangui","Adulte",1212.33052015549,1212.33052015549,1212.33052015549,7,1,"Macao"
"58","Kakélo6","M103","M","Bangui","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"591","Boua1","M92","F","Bangui","Adulte",NA,-Inf,-Inf,11,0,"Macao"
"631","Kakélo6","M108","F","Bangui","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"641","Bakouengué","M31","M","Berandjokou","Adulte",12358.4418328894,103119.595029403,2354.70991101907,11,5,"Macao"
"651","Kakélo5","M99","F","Bangui","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"711","Molapa_MA","M24","M","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"73","Kakélo2","M83","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"75","Bateké1","M12","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"771","Kakélo6","M150","M","Macao","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"791","Mopendé","M41","F","Papé","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"80","Kakélo4","M115","M","","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"81","Kakélo2","M131","M","Bangui","Adulte",8919.50767534176,9085.00963425744,1750.38603825094,9,3,"Macao"
"82","Molapa_MA","M25","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"841","Boua1","M137","F","Dongou","Adulte",179.958241540146,179.958241540146,179.958241540146,5,1,"Macao"
"85","Kakélo1","M97","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"881","Atanga","M172","F","Macao","Adolescent",NA,-Inf,-Inf,8,0,"Macao"
"90","Boua2","M122","F","Bangui","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"911","Kakélo4","M161","M","Bangui","Adulte",274.674893840174,274.674893840174,274.674893840174,6,1,"Macao"
"94","Kakélo2","M89","M","Bangui","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"95","Moyimbi","M1","F","Dongou","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"96","Kakélo6","M107","M","Bayanga","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"97","Moyimbi","M7","M","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"98","Mopendé","M33","M","Papé","Personne âgée",4182.8731431283,4604.49087805054,3761.25540820606,10,2,"Macao"
"991","Mopendé","M37","M","Papé","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1001","Malomba","M55","M","Bangui","Personne âgée",NA,-Inf,-Inf,5,0,"Macao"
"102","Atanga","M177","F","Macao","Adulte",NA,-Inf,-Inf,13,0,"Macao"
"1031","Mopendé","M39","M","Papé","Adulte",4604.49087805054,4604.49087805054,4604.49087805054,4,1,"Macao"
"1051","Boua1","M67","M","Bangui","Adulte",179.958241540146,179.958241540146,179.958241540146,10,1,"Macao"
"106","Atanga","M171","F","Macao","Adulte",108144.948418122,108144.948418122,108144.948418122,14,1,"Macao"
"1081","Kakélo6","M159","F","Bangui","Adulte",470.655636471109,591.479098966977,349.832173975241,9,2,"Macao"
"112","Bateké2","M16","F","Moudjanda","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"115","Atanga","M176","F","Thanry","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"117","Molapa_MA","M19","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1181","Boua1","M62","M","Bangui","Personne âgée",NA,-Inf,-Inf,5,0,"Macao"
"120","Boua1","M69","M","Bangui","Adulte",179.958241540146,179.958241540146,179.958241540146,4,1,"Macao"
